Project Number,year,papersNum
5R01AR042017-18,18,0
5R01HL117305-03,3,1
1R01DA039950-01,1,0
5R01MH081968-08,8,1
5R01EY022342-03,3,1
6R01AG043517-04,4,0
2R01NS047229-10A1,10,1
5R01DE021139-05,5,0
1R01HL130670-01,1,0
5R01EY023962-02,2,1
1R01DA039088-01,1,0
1R01NS094681-01,1,4
6R01DC004263-14,14,2
5R01CA180070-04,4,1
5R01GM080219-08,8,2
5R01HD073077-03,3,0
5R01NS035129-18,18,11
3R01HL118369-02S1,2,0
5R01EY018144-07,7,3
5R01GM083071-08,8,4
5R01AI031478-23,23,7
5R01ES012933-10,10,6
5R01CA178499-02,2,0
2R01AI084914-06,6,0
1R01AI115981-01,1,0
5R01CA181160-02,2,4
5R01HD071988-03,3,0
5R01CA149738-05,5,2
5R01AG011378-23,23,3
1R01DE025462-01,1,0
5R01NS054794-09,9,3
1R01HD081216-01A1,1,0
5R01DA036680-02,2,0
5R01CA170023-03,3,5
1R01AI119048-01,1,0
5R01AG011085-22,22,3
5R01DA033280-04,4,1
1R01HD079410-01A1,1,0
5R01CA069202-19,19,1
2R01GM075252-10,10,0
5R01DK100851-03,3,0
5R01NS082567-03,3,1
5R01GM096060-04,4,0
2R01DA016903-11A1,11,3
5R01GM104241-02,2,0
5R01EY020488-06,6,2
2R01GM065933-14,14,0
5R01GM079641-08,8,1
5R01NS089694-02,2,0
3R01AI110370-02S1,2,0
5R01DA036445-03,3,0
5R01AI090662-05,5,0
1R01HG008363-01,1,0
5R01HL105647-05,5,2
1R01DA039195-01,1,0
5R01DK095721-04,4,2
5R01AI111907-02,2,0
5R01AR062506-04,4,6
5R01HL116455-02,2,1
5R01NS084975-02,2,0
2R01NS040094-09A1,9,0
5R01MH066703-14,14,0
5R01DA036507-10,10,1
9R01NS092145-05A1,5,0
5R01MD007658-03,3,13
5R01GM098503-04,4,0
5R01GM108477-02,2,0
5R01CA174453-04,4,0
6R01AG039632-06,6,0
5R01HL115141-04,4,0
5R01GM055769-15,15,4
5R01DK090918-06,6,10
5R01GM049500-17,17,0
1R01GM110577-01A1,1,0
5R01DK098563-02,2,0
5R01HD065942-05,5,0
3R01GM086610-05S1,5,5
3R01CA170334-03S1,3,0
5R01GM079179-08,8,0
1R01CA197029-01,1,0
5R01DC000528-24,24,0
1R01GM115779-01,1,0
5R01DA021421-07,7,5
5R01AA016179-10,10,0
6R01DK103961-03,3,0
1R01HL123515-01A1,1,0
5R01NS085709-03,3,0
5R01DC004845-14,14,0
5R01DK101997-02,2,0
3R01MD007762-02S1,2,1
5R01AI102876-03,3,0
1R01NS088604-01A1,1,0
2R01GM083025-06,6,3
1R01CA184792-01A1,1,0
5R01CA182518-02,2,0
5R01HD072235-03,3,0
1R01HD081117-01A1,1,0
5R01MH095778-04,4,0
1R01NS089640-01A1,1,0
2R01AR039588-25A1,25,5
5R01EB002425-10,10,8
5R01GM108803-02,2,0
1R01CA188575-01A1,1,0
5R01HL112815-03,3,0
5R01NS082436-02,2,0
1R01NS086804-01A1,1,0
2R01AG037609-06,6,0
5R01AA020970-04,4,1
5R01NS039953-11,11,0
1R01DK102932-01A1,1,0
1R01AG048262-01A1,1,0
5R01AG021961-09,9,0
1R01AI117776-01,1,0
5R01DA036604-02,2,1
3R01DK104047-02S1,2,0
5R01AI095032-04,4,0
5R01AI106738-03,3,0
1R01CA194574-01,1,0
5R01AR064546-03,3,0
5R01GM103502-08,8,7
5R01CA163737-04,4,3
5R01NS078179-03,3,0
5R01ES020874-04,4,0
5R01MH081159-07,7,1
5R01DK084391-06,6,1
5R01AR044731-19,19,0
5R01HL105945-05,5,17
5R01CA176166-02,2,0
5R01NR014756-03,3,1
5R01HD065339-05,5,1
5R01HD066319-04,4,0
5R01MH095786-04,4,2
5R01GM095496-05,5,0
5R01ES022966-02,2,0
1R01HD081162-01A1,1,0
5R01DE023532-02,2,0
5R01EY024607-02,2,1
5R01AG039474-05,5,0
1R01CA186917-01A1,1,0
5R01GM107145-02,2,4
1R01CA188286-01A1,1,0
5R01GM061300-15,15,0
1R01HL122388-01A1,1,0
3R01CA165076-04S1,4,1
5R01DA002519-29,29,0
5R01CA164019-02,2,0
5R01HL115828-04,4,36
3R01HG006323-04S2,4,0
5R01NS014428-32,32,0
5R01HL034363-30,30,0
5R01GM099717-04,4,0
5R01GM029169-33,33,0
5R01HD080201-02,2,0
5R01CA131407-08,8,3
5R01NS079637-04,4,0
2R01CA124704-06A1,6,1
5R01MD008934-02,2,0
5R01DE019284-07,7,8
2R01AI026077-28,28,1
5R01HL124120-02,2,1
1R01GM116632-01,1,0
5R01HL123283-02,2,0
2R01GM090033-05A1,5,1
5R01GM032384-32,32,0
1R01HL128816-01,1,0
5R01NS072241-05,5,2
5R01NS085910-03,3,0
1R01AI118305-01A1,1,0
5R01AI072502-08,8,0
3R01HL119802-02S1,2,2
5R01NS028901-26,26,0
5R01AI074984-07,7,0
5R01MD007664-02,2,0
2R01DA014133-16,16,2
5R01DE024157-02,2,1
5R01HL119718-02,2,0
5R01GM111987-02,2,0
5R01GM034059-29,29,1
7R01AI072571-09,9,0
5R01AI107516-02,2,0
1R01AR067129-01A1,1,0
